Id,Label,Name,Wikidata ID,Entitätstyp,Geburtsdatum,Sterbedatum,GND ID
599,Anton Moortgat,Anton Moortgat,http://www.wikidata.org/wiki/Q124897,Person,1897-09-21T00:00:00Z,1977-10-09T00:00:00Z,https://d-nb.info/gnd/118736809
600,Otto E. Neugebauer,Otto E. Neugebauer,http://www.wikidata.org/wiki/Q111996,Person,1899-05-26T00:00:00Z,1990-02-19T00:00:00Z,https://d-nb.info/gnd/11695471X
601,Theodor Nöldeke,Theodor Nöldeke,http://www.wikidata.org/wiki/Q63458,Person,1836-03-02T00:00:00Z,1930-12-25T00:00:00Z,https://d-nb.info/gnd/119453223
602,Karl Oberhuber,Karl Oberhuber,http://www.wikidata.org/wiki/Q59533484,Person,1915-10-31T00:00:00Z,1997-01-04T00:00:00Z,https://d-nb.info/gnd/136105947
603,Albert T. Olmstead,Albert T. Olmstead,http://www.wikidata.org/wiki/Q1696727,Person,1880-03-23T00:00:00Z,1945-04-11T00:00:00Z,https://d-nb.info/gnd/13745791X
604,Heinrich Otten,Heinrich Otten,http://www.wikidata.org/wiki/Q1275375,Person,1913-12-27T00:00:00Z,2012-04-08T00:00:00Z,https://d-nb.info/gnd/118738690
605,Tahsin Özgüç,Tahsin Özgüç,http://www.wikidata.org/wiki/Q322589,Person,1916-03-12T00:00:00Z,2005-10-28T00:00:00Z,https://d-nb.info/gnd/118937022
606,Herbert Petschow,Herbert Petschow,http://www.wikidata.org/wiki/Q1608904,Person,1909-12-26T00:00:00Z,1991-06-28T00:00:00Z,https://d-nb.info/gnd/124869629
607,David Pingree,David Pingree,http://www.wikidata.org/wiki/Q1029283,Person,1933-01-02T00:00:00Z,2005-11-11T00:00:00Z,https://d-nb.info/gnd/129395943
608,Hugo Radau,Hugo Radau,http://www.wikidata.org/wiki/Q59610936,Person,1873-01-01T00:00:00Z,,https://d-nb.info/gnd/116332298
609,Erkki Salonen,Erkki Salonen,http://www.wikidata.org/wiki/Q17383740,Person,1920-04-16T00:00:00Z,2001-01-01T00:00:00Z,https://d-nb.info/gnd/14360693X
610,Mariano San Nicolò,Mariano San Nicolò,http://www.wikidata.org/wiki/Q1897006,Person,1887-08-20T00:00:00Z,1955-05-15T00:00:00Z,https://d-nb.info/gnd/10198104X
