Source,Target,Type,Id,Label,Weight,Art der Beziehung
385,83,Directed,612,angestellt bei,1,angestellt bei
385,39,Directed,613,studiert an,1,studiert an
385,72,Directed,614,angestellt bei,1,angestellt bei
387,35,Directed,616,angestellt bei,1,angestellt bei
387,170,Directed,617,Mitglied von,1,Mitglied von
387,40,Directed,619,studiert an,1,studiert an
387,41,Directed,620,studiert an,1,studiert an
387,181,Directed,621,Mitglied von,1,Mitglied von
387,12,Directed,622,angestellt bei,1,angestellt bei
388,2,Directed,623,studiert an,1,studiert an
388,127,Directed,624,angestellt bei,1,angestellt bei
389,42,Directed,625,studiert an,1,studiert an
389,128,Directed,626,angestellt bei,1,angestellt bei
390,43,Directed,627,studiert an,1,studiert an
390,129,Directed,628,angestellt bei,1,angestellt bei
391,26,Directed,629,studiert an,1,studiert an
391,188,Directed,630,Mitglied von,1,Mitglied von
391,42,Directed,631,angestellt bei,1,angestellt bei
391,44,Directed,632,studiert an,1,studiert an
391,143,Directed,633,Mitglied von,1,Mitglied von
391,174,Directed,634,Mitglied von,1,Mitglied von
392,541,Directed,635,Schüler*in von,1,Schüler*in von
392,45,Directed,636,angestellt bei,1,angestellt bei
392,177,Directed,637,Mitglied von,1,Mitglied von
392,189,Directed,639,Mitglied von,1,Mitglied von
392,190,Directed,640,Mitglied von,1,Mitglied von
392,169,Directed,641,Mitglied von,1,Mitglied von
392,191,Directed,642,Mitglied von,1,Mitglied von
392,192,Directed,643,Mitglied von,1,Mitglied von
392,181,Directed,644,Mitglied von,1,Mitglied von
392,193,Directed,645,Mitglied von,1,Mitglied von
392,194,Directed,646,Mitglied von,1,Mitglied von
393,46,Directed,647,angestellt bei,1,angestellt bei
393,195,Directed,648,Mitglied von,1,Mitglied von
394,427,Directed,651,Schüler*in von,1,Schüler*in von
394,1,Directed,652,studiert an,1,studiert an
394,175,Directed,653,Mitglied von,1,Mitglied von
394,10,Directed,654,angestellt bei,1,angestellt bei
394,47,Directed,655,studiert an,1,studiert an
394,182,Directed,656,Mitglied von,1,Mitglied von
394,196,Directed,657,Mitglied von,1,Mitglied von
394,197,Directed,658,Mitglied von,1,Mitglied von
394,143,Directed,659,Mitglied von,1,Mitglied von
